Wavelength,NC1,NC2,NC3,SF1,SF2,SF3,SN1,SN2,SN3
Group,NC,NC,NC,SF,SF,SF,SN,SN,SN
588.869998,59.006745,76.444372,67.881503,93.289619,96.277917,95.508968,75.986596,78.196194,87.965728
590.306266,58.959191,76.50396,67.885663,93.297579,96.278113,95.505824,75.910342,78.125654,87.935282
591.742535,58.95807,76.579951,67.916667,93.291856,96.272862,95.497774,75.85387,78.078794,87.917924
593.178803,58.969154,76.661355,67.964843,93.283955,96.267475,95.491344,75.779839,78.027286,87.903239
594.615071,59.003006,76.762027,68.037473,93.273115,96.265421,95.486445,75.717077,77.991376,87.880067
596.051339,59.049993,76.877427,68.125635,93.262301,96.261906,95.479554,75.637023,77.934461,87.848229
597.487608,59.138126,77.01023,68.239726,93.242265,96.259784,95.469474,75.571579,77.895963,87.82384
598.923876,59.235363,77.162139,68.367589,93.237819,96.257026,95.457382,75.485471,77.842267,87.79444
600.360144,59.379135,77.338852,68.53588,93.25602,96.253439,95.449106,75.440427,77.8222,87.764339
601.796413,59.533061,77.518459,68.714049,93.275051,96.254425,95.443233,75.385464,77.787291,87.737951
603.232681,59.735468,77.713869,68.917247,93.29111,96.25615,95.439866,75.346636,77.770077,87.724499
604.668949,59.947861,77.919749,69.142328,93.306355,96.255698,95.4346,75.297349,77.732568,87.709485
606.105217,60.206279,78.144942,69.396219,93.322637,96.261604,95.428315,75.272772,77.712121,87.702268
607.541486,60.479749,78.372451,69.655794,93.342452,96.270565,95.427085,75.237288,77.683741,87.695133
608.977754,60.769833,78.607083,69.923758,93.361529,96.277505,95.429934,75.221856,77.676178,87.687156
610.414022,61.03772,78.821766,70.179506,93.383826,96.281812,95.430548,75.195445,77.651348,87.681562
611.850291,61.343433,79.032705,70.447877,93.407763,96.282457,95.428837,75.186194,77.649933,87.685214
613.286559,61.649466,79.255693,70.728119,93.434211,96.289278,95.432109,75.174481,77.638526,87.688773
614.722827,61.988896,79.498694,71.030607,93.452663,96.297693,95.435784,75.180362,77.6391,87.688833
616.159095,62.329331,79.730963,71.329869,93.476831,96.305488,95.440418,75.172902,77.625021,87.691146
617.595364,62.684701,79.953087,71.626012,93.501427,96.313976,95.445978,75.188754,77.632088,87.699456
619.031632,63.030002,80.161959,71.906844,93.526078,96.322495,95.450597,75.187743,77.624796,87.704866
620.4679,63.377659,80.361479,72.18731,93.552974,96.331366,95.457391,75.20792,77.637669,87.717632
621.904169,63.699385,80.542931,72.452952,93.575893,96.33735,95.460527,75.21022,77.635427,87.723932
623.340437,64.017653,80.71565,72.714075,93.598577,96.34385,95.464286,75.229053,77.652603,87.733421
624.776705,64.302045,80.872297,72.962304,93.620541,96.350485,95.4679,75.231975,77.654325,87.740724
626.212973,64.578636,81.010131,73.190968,93.641854,96.357367,95.471491,75.250125,77.673533,87.751038
627.649242,64.800592,81.10828,73.374523,93.656866,96.360495,95.475417,75.250072,77.677331,87.759641
629.08551,64.980456,81.189929,73.532558,93.679998,96.367449,95.477909,75.263938,77.698915,87.771421
630.521778,65.104103,81.239589,73.653416,93.702766,96.374608,95.479707,75.260259,77.706459,87.780348
631.958047,65.219192,81.28272,73.757065,93.724997,96.380233,95.48244,75.268774,77.731063,87.788299
633.394315,65.301818,81.326997,73.841298,93.742948,96.389976,95.487945,75.269841,77.742839,87.801015
634.830583,65.367403,81.359287,73.908756,93.759175,96.398201,95.493002,75.283075,77.769507,87.816434
636.266851,65.386265,81.360912,73.930968,93.779036,96.409101,95.497995,75.284103,77.783252,87.833261
637.70312,65.39588,81.352557,73.92418,93.788782,96.414767,95.504788,75.297283,77.812516,87.847799
639.139388,65.376074,81.335353,73.896953,93.799055,96.420498,95.511996,75.2943,77.828226,87.860796
640.575656,65.3451,81.331957,73.883257,93.809926,96.426135,95.520473,75.310375,77.860807,87.878515
642.011925,65.309022,81.340862,73.88475,93.817463,96.430061,95.526696,75.312604,77.879965,87.890552
643.448193,65.272234,81.355064,73.892392,93.827828,96.436438,95.53538,75.333815,77.915803,87.911611
644.884461,65.229571,81.376287,73.907134,93.839424,96.443658,95.544562,75.343965,77.938727,87.928598
646.320729,65.207627,81.404387,73.931257,93.853885,96.451638,95.554605,75.372947,77.977921,87.949034
647.756998,65.192161,81.445865,73.969293,93.871124,96.459874,95.565608,75.389426,78.002878,87.965842
649.193266,65.212806,81.518795,74.043329,93.899124,96.473741,95.575301,75.425858,78.04493,87.990834
650.629534,65.281582,81.611134,74.150736,93.926056,96.486837,95.586053,75.452048,78.07481,88.014995
652.065803,65.430518,81.751048,74.310432,93.954934,96.500284,95.597702,75.497706,78.12127,88.042732
653.502071,65.669862,81.948726,74.529474,93.983201,96.515247,95.608288,75.530592,78.152973,88.075977
654.938339,66.014344,82.193937,74.816738,94.007048,96.530214,95.619269,75.582441,78.204937,88.109405
656.374607,66.566777,82.56557,75.260703,94.048746,96.547278,95.631695,75.625247,78.24227,88.142755
657.810876,67.222727,82.960585,75.742501,94.080479,96.559137,95.645287,75.676592,78.290589,88.172783
659.247144,67.886718,83.345502,76.228,94.115613,96.573759,95.658143,75.71873,78.329062,88.20427
660.683412,68.523755,83.722858,76.716784,94.148627,96.589009,95.671212,75.777192,78.382153,88.238739
662.119681,69.166275,84.074498,77.187272,94.179176,96.604111,95.683756,75.824954,78.425429,88.270024
663.555949,69.792749,84.399478,77.640232,94.207237,96.618984,95.696447,75.887346,78.482947,88.303521
664.992217,70.354786,84.684136,78.048575,94.233562,96.630545,95.706454,75.943076,78.532122,88.326988
666.428486,70.844749,84.913275,78.391132,94.257762,96.646226,95.719902,76.009041,78.593639,88.354923
667.864754,71.212814,85.07452,78.650956,94.27883,96.660569,95.73293,76.061073,78.643091,88.37897
669.301022,71.473239,85.168331,78.83088,94.295337,96.673194,95.744951,76.128969,78.707405,88.408298
670.73729,71.626161,85.20781,78.944357,94.309505,96.684266,95.75647,76.18588,78.762054,88.432679
672.173559,71.711304,85.225093,79.023551,94.320461,96.694026,95.76739,76.259611,78.832558,88.457893
