"","NC1","NC2","NC3","SF1","SF2","SF3","SN1","SN2","SN3","10","11","12","13"
"Group","NC","NC","NC","SF","SF","SF","SN","SN","SN","AOV p-value","AOV F-value","KWT p-value","KWT Chi-squared"
"X545.781949","67.285928","79.204695","72.93749","91.820479","96.065067","95.272586","78.8993","80.979549","87.759166","0.00368575377793751","16.4213380752778","0.0389902195744872","6.48888888888889"
"X547.218218","66.822471","78.994504","72.63838","91.82876","96.062895","95.267633","78.643078","80.772057","87.681582","0.0037502778380521","16.3093108273287","0.0389902195744872","6.48888888888889"
"X548.654486","66.389714","78.800061","72.350077","91.853983","96.058004","95.264769","78.438247","80.605909","87.615131","0.00377929717103213","16.2597616083999","0.0389902195744872","6.48888888888889"
"X550.090754","65.934529","78.594396","72.036545","91.88258","96.060407","95.254909","78.219782","80.410504","87.555539","0.00381958083143118","16.1918137218705","0.0389902195744872","6.48888888888889"
"X551.527022","65.510751","78.399592","71.754288","91.922465","96.065064","95.252301","78.05156","80.25753","87.547103","0.00385876949661469","16.1266235038028","0.0389902195744872","6.48888888888889"
"X552.963291","65.078306","78.204987","71.474685","91.984716","96.06944","95.261944","77.881176","80.100089","87.565092","0.00391077997383891","16.041454844816","0.0389902195744872","6.48888888888889"
"X554.399559","64.654971","78.034283","71.204974","92.057466","96.08288","95.279689","77.763792","79.991863","87.599821","0.00395478405271697","15.9705678090508","0.0389902195744872","6.48888888888889"
"X555.835827","64.216225","77.86006","70.930844","92.150048","96.092149","95.299284","77.636133","79.856686","87.634565","0.00400228403141339","15.8952199930689","0.0389902195744872","6.48888888888889"
"X557.272096","63.829208","77.679784","70.670771","92.256064","96.104232","95.325286","77.565239","79.759872","87.671065","0.00397189054047571","15.9432939125886","0.0389902195744872","6.48888888888889"
"X558.708364","63.432507","77.506234","70.401989","92.355757","96.121748","95.362527","77.473035","79.637727","87.710561","0.00397388585070948","15.940122870646","0.0389902195744872","6.48888888888889"
"X560.144632","63.081471","77.363247","70.16","92.452741","96.13675","95.402255","77.414515","79.550021","87.775012","0.00398773420098295","15.918172756424","0.0273237224472925","7.2"
"X561.580901","62.725678","77.21214","69.915677","92.539093","96.160493","95.428868","77.337109","79.436905","87.851736","0.00402670204351293","15.8569488492721","0.0273237224472925","7.2"
"X563.017169","62.401919","77.08977","69.691212","92.622845","96.1841","95.452332","77.287652","79.345069","87.949212","0.00408401502507265","15.7683233751036","0.0273237224472925","7.2"
"X564.453437","62.086841","76.977337","69.476951","92.711647","96.198448","95.478487","77.213602","79.246331","88.025282","0.00414576846817877","15.6746687339734","0.0273237224472925","7.2"
"X565.889705","61.789274","76.857152","69.297073","92.776071","96.226437","95.498189","77.161313","79.19231","88.062256","0.00415972522317924","15.6537595148114","0.0273237224472925","7.2"
"X567.325974","61.480588","76.741155","69.122291","92.820352","96.255052","95.506771","77.071384","79.101146","88.062176","0.00419788719947725","15.5970617535979","0.0273237224472925","7.2"
"X568.762242","61.227779","76.657783","68.961378","92.861266","96.268923","95.511428","77.008394","79.033466","88.050995","0.00422167704107123","15.5620634342906","0.0273237224472925","7.2"
"X570.19851","60.960494","76.574146","68.802871","92.888321","96.27838","95.510659","76.920253","78.942428","88.041619","0.00428167701331283","15.4749506477563","0.0273237224472925","7.2"
"X571.634779","60.727383","76.503992","68.673082","92.903597","96.280456","95.50672","76.855152","78.87994","88.059615","0.00435482253302369","15.3709282472927","0.0273237224472925","7.2"
"X573.071047","60.497512","76.440292","68.541766","92.907284","96.27936","95.502874","76.765066","78.806902","88.082602","0.00445767208711329","15.2285398519468","0.0273237224472925","7.2"
"X574.507315","60.285585","76.401769","68.435708","92.912822","96.282419","95.501111","76.698267","78.760944","88.100093","0.00456264694752487","15.0876564156307","0.0273237224472925","7.2"
"X575.943583","60.082307","76.363094","68.33635","92.936307","96.275513","95.502782","76.615614","78.694624","88.0929","0.00465078306277934","14.9726683632123","0.0273237224472925","7.2"
"X577.379852","59.911981","76.32513","68.241105","92.956597","96.265798","95.509363","76.549398","78.649484","88.076997","0.00470236392950466","14.9067117320084","0.0273237224472925","7.2"
"X578.81612","59.723331","76.300531","68.140357","92.983666","96.258755","95.511887","76.447106","78.570712","88.061425","0.00480341117480461","14.7802556059199","0.0273237224472925","7.2"
"X580.252388","59.576553","76.301347","68.066415","93.036877","96.24882","95.508473","76.379879","78.522562","88.052731","0.00488674609910982","14.6786051664714","0.0273237224472925","7.2"
"X581.688657","59.422577","76.298872","67.99214","93.091773","96.247196","95.505945","76.298892","78.459257","88.04531","0.00498096954717569","14.5664212273461","0.0273237224472925","7.2"
